ke	k @
nyemetak	NJ @ m @ t a KK
nyelai	NJ @ l aj
kontrektor	k o n t r e KK t o
igi	aj dZ i aj
bepengelandik	b @ p @ NG @ l a n d e KK
ruai	r w a i
ngelaluka	NG @ l a l u k a
nikika	n i k i k @
nguan	NG u a n
jelaing	dZ @ l a i NG
ditan	d i t a n
sabsidi	s a b s i d i
keretas	k @ r @ t @ s
tikai	t i k aj
tasah	t a s a h
ngelantangka	NG @ l a n t a NG k @
kunsilor	k u n s i l o
betelefon	b @ t e l e f o n
bepengerai	b @ p @ NG @ r aj
nyeliah	NJ @ l j a h
nunda	n u n d a
bepenemu	b @ p @ n @ m u
ngarap	NG a r a p
dikangau	d i k a NG aw
stampin	s t e m p i n
diketuka	d i k @ t o k a
beterima	b @ t @ r i m @
begempuru	b @ g @ m p u r u
mbks	e m b i k e e s
bekait	b @ k aj e t
nyadung	NJ a d o NG
munaska	m u n a s k a
badas	b a d a s
pengelala	p @ NG @ l a l a
ngelatih	NG @ l a t e h
ngalahka	NG a l a h k a
mereti	m @ r @ t i
penulung	p @ n u l o NG
nyain	NJ a i n
nukar	n u k a
ngangkat	NG a NG k a t
km	k e e m
bekimpin	b @ k i m p i n
disuaka	d i s w a k a
ninggalka	n i NG g a l k a
belayan	b @ l a j a n
bechiping	b e k i p i NG
ngundan	NG u n d a n
ngenyit	NG @ n j i t
ngemuntangka	NG @ m u n t a NG k @
belajarka	b @ l a dZ a r k a
ngachau	NG a tS aw
lutur	l u t o r
jerip	dZ @ r i p
disikap	d i s i k a p
bangat	b a NG a t
tuai-tuai	t w aj t w aj
pelaba	p @ l a b @
ngerampas	NG @ r a m p a s
kiruh	k i r o h
dipebasa	d i p @ b a s @
irup	i r o p
ugak	u g a KK
tusun	t u s u n
rmk-sepuluh	a r e m KK s @ p u l o h
penyadi	p @ NJ a d i
panggau	p a NG g aw
ngerami	NG @ r a m i
entukar	@ n t u k a
belalai	b @ l a l aj
ngerebut	NG @ r @ b u t
kilah	k i l a h
kamah	k a m a h
dibaruh	d i b a r o h
perubat	p @ r u b a t
bemacham	b @ m a tS a m
redak	r @ d a KK
nkra	e n k e a r e
kelinik	k @ l i n i KK
setegal	s @ t @ g a l
nguluka	NG u l u k @
nanya	n a NJ @
diuan	d j u a n
selebubu	s @ l @ b u b u
pengangkun	p @ NG a NG k u n
nyerahka	NJ e r a h k a
ngepan	NG @ p a n
kebendar	k @ b @ n d a r
bungai	b u NG @ i
penyulut	p @ NJ u l u t
ngagihka	NG a g e h k a
melabaka	m @ l a b a k a
dikemerat	d i k @ m @ r a t
dikearapka	d i k @ a r a p k a
dikearap	d i k @ a r a p
dcci	d i s i s i aj
penyah	p @ NJ a h
nyingkang	NJ i NG k a NG
dikemeranka	d i k @ m @ r a n k @
kujat	k u dZ a t
dibagi	d i b a g i
trupi	t r u p i
pengentap	p @ NG @ n t a p
nupi	n u p i
ngepunka	NG @ p u n k a
diasaika	d i a s a i k a
betanding	b @ t a n d i NG
bejaika	b @ dZ a i k a
munsuh	m u n s o h
dikemansang	d i k @ m a n s a NG
bebida	b @ b i d @
seseiku	s @ s @ i k u
penanyi	p @ n a NJ i
menuku	m @ n u k u
melanja	m @ l a n dZ a
tagit	t a g e t
sekumbang	s @ k u m b a NG
profesyenal	p r o f e SS @ n @ l
penyeranta	p @ NJ @ r a n t a
pengelalu	p @ NG @ l a l u
nirika	n i r i k a
neritka	n @ r i t k a
kabar	k a b a
piak	p j a KK
ngabang	NG a b a NG
dbna	d i b i e n e
betengahka	b @ t @ NG a h k a
bedandang	b @ d a n d a NG
ngaku	NG @ k u
ke-dua	k @ d u w a
dikerembaika	d i k @ r @ m b aj k a
bepekit	b @ p @ k e t
bekenangka	b @ k @ n a NG k a
pengaji	p @ NG a dZ i
pengada	p @ NG a d @
ngenggaika	NG @ NG g a i k a
rambau	r a m b aw
pengurang	p @ NG u r a NG
penerit	p @ n @ r e t
entuka	@ n t o k a
dagin	d a g i n
siga	s i g @
ditaga	d i t a g @
binching	b i n tS i NG
sukut	s u k u t
semengat	s @ m @ NG a t
sdga	e s d i dZ i e
ngemansang	NG @ m a n s a NG
ngalih	NG a l e h
mantai	m a n t aj
facebook	f e s b u k
ditangkanka	d i t a NG k a n k a
tasat	t a s a t
nundaka	n u n d a k a
ngirup	NG i r o p
ngetan	NG @ t a n
stisin	s t i s i n
ngipa	NG i p a
ngaduka	NG a d u k a
sepenemu	s @ p @ n @ m u
sejalai	s @ dZ a l a i
sarakup	s a r a k o p
ditagang	d i t a g a NG
bebala	b @ b a l @
pulaika	p u l aj k a
penyangkai	p @ NJ a NG k aj
pengabang	p @ NG a b a NG
pemekit	p @ m @ k e t
mansa	m a n s a
dipansut	d i p a n s o t
pengelengkas	p @ NG @ l @ NG k a s
judat	dZ u d a t
baucher	b aw tS h @ r
terit	t @ r e t
ransing	r e n z i NG
naroden	n a r o d @ n
jeman	dZ @ m a n
disadung	d i s a d o NG
dikemeran	d i k @ m e r a n
pengerejister	p @ NG @ r @ dZ i s t @
ngantung	NG a n t o NG
menya	m @ NJ a
penyauh	p @ NJ a o h
ngingatka	NG i NG a t k a
ngelanggar	NG @ l a NG g a
urup	u r o p
rinduka	r i n d u k a
paking	p a k i NG
nunu	n u n u
ngeli	NG @ l i
menijar	m @ n i dZ a
ditikika	d i t i k i k @
diripot	d i r i p o t
diangkatka	d i a NG k a t k a
betanamka	b @ t a n a m k a
begunan	b @ g u n a n
ambis	a m b i s
penyelai	p @ NJ @ l aj
ngeringka	NG @ r i NG k a
ngerejista	NG @ r @ dZ i s t a
kemisi	k @ m i s i
jerita	dZ @ r i t @
tinggang	t i NG g a NG
rintai	r i n t aj
gramong	g r @ m a NG
ex-soldadu	e KK s s o l d a d u
dikeruga	d i k @ r u g @
bepalan	b e p a l a n
saut	s aw t
pengingin	p @ NG i NG i n
numbur	n u m b o r
ngetuka	NG @ t o k a
munuh	m u n o h
madamka	m a d a m k a
lumpar	l u m p a r
kuing	k u i NG
diukum	d i u k o m
dipenyadi	d i p @ NJ a d i
dekaka	d @ k a k @
terubah	t @ r u b a h
sibuti	s i b u t i
ngenusahka	NG @ n u s a h k a
merintah	m @ r i n t a h
luyar	l u j a
elawin	e l a w i n
ngemanah	NG @ m a n a h
lutor	l u t o
bechuntoka	b e tS @ n t o k a
tusu	t u s u
sinu	s i n u
rikod	r i k o d
ppks	p i p i k e e s
pemun	p @ m u n
ke-tujuh	k e t u dZ o h
fji	f dZ i
dipejuraika	d i p @ dZ u r aj k a
dibacha	d i b a tS a
ngeripot	NG @ r i p o t
ngemunaska	NG @ m u n a s k a
nengkebang	n @ NG k @ b a NG
injinir	i n dZ i n e
dipelanja	d i p @ l a n dZ a
danji	d a n dZ i
rengka	r @ NG k a
ngirauka	NG i r aw k a
mutuska	m u t u s k a
entu	@ n t u
entarabansa	@ n t a r a b a n s a
tengan	t e NG a n
samalaju	s a m @ l a dZ u
nyeruri	NJ @ r o r i
ngidupka	NG i d o p k a
ngerusak	NG @ r u s a KK
ngadu	NG a d u
nangika	n a NG i k @
lambir	l a m b e
pra-sekula	p r a s @ k u l a
ngamatka	NG a m a t k a
murum	m u r o m
genteran	g @ n t @ r a n
dipandangka	d i p a n d a NG k a
belelak	b @ l @ l a KK
tekenyit	t @ k @ n j i t
talipaun	t a l i p aw n
penyiru	p @ NJ i r u
ngelai	NG @ l aj
neruska	n @ r u s k a
kemi	k @ m i
beambi	b i m b i
angat	a NG a t
rusak	r u s a KK
pagila	p a g i l a
miring	m i r i NG
berandauka	b @ r a n d aw k a
udu	u d u
nyemilik	NJ @ m i l i KK
ngemesaika	NG @ m @ s aj k a
ngau	NG aw
ngapa	NG a p @
dipelajar	d i p @ l a dZ a
dikerembai	d i k @ r @ m b aj
vokasyenal	v o k a SS @ n @ l
mersat	m @ r s a t
tisi	t i s i
sembiang	s @ m b j a NG
pemanjai	p @ m a n dZ a i
ngenegapka	NG @ n @ g a p k a
ngemajuka	NG @ m a dZ u k a
diperindang	d i p @ r i n d a NG
asfia	e e s e f aj e
sarak	s a r a KK
nagit	n a g e t
engkabang	@ NG k a b a NG
dahim	d a h i m
berebutka	b @ r @ b u t k a
bengoh	b @ NG o h
skrang	s k r a NG
sekiteri	s @ k i t @ r i
kunsi	k u n s i
senadin	s @ n a d i n
rikut	r i k u t
nepan	n e p a n
mirah	m i r a h
diperunding	d i p @ r u n d i NG
didawa	d i d a w @
beempuka	b j @ m p u k a
tusur	t u s o
tangkan	t a NG k a n
ningkilka	n i NG k e l k a
dikerindu	d i k @ r i n d u
bekempit	b @ k @ m p e t
begaji	b @ g a dZ i
ngiri	NG e r i
nasat	n a s a t
kambut	k a m b u t
gtp	dZ i t i p i
zulpilip	z u l p i l i p
setindit	s @ t i n d e t
pengerara	p @ NG @ r a r a
pengamah	p @ NG a m a h
nreb	e n a r i b i
nginti	NG i n t i
muran	m u r a n
menira	m @ n i r a
empiang	e m p j a NG
tengkira	t @ NG k i r @
sekut	s @ k u t
petara	p @ t a r @
pengulih	p @ NG u l e h
pemedis	p @ m @ d i s
ikeh	i k e h
diriput	d i r i p u t
chuat	tS w a t
uchu	u tS u
pesereta	p @ s @ r e t a
pekereja	p @ k @ r @ dZ a
nangi	n a NG i
melaki	m @ l a k i
entrie	e n t r i
diasai	d i a s a i
beperesa	b @ p @ r i s @
bcck	b i s i s i k e
utom	u t o m
undop	u n d o p
pantu	p a n t u
nyali	NJ a l i
nginsap	NG i n s a p
laluh	l a l u h
diketu	d i k @ t u
bejadi	b @ dZ a d i
teparuk	t @ p a r o KK
siku-siku	s i k u s i k u
nyendiakka	NJ @ n d j a KK k a
lumor	l u m @
beripai	b @ r i p aj
sepenembu	s @ p @ n @ m b u
pengelemi	p @ NG @ l e m i
ngembing	NG @ m b i NG
nejuka	n @ dZ o k a
nandaka	n a n d a k a
meratika	m @ r a t i k a
keresa	k @ r i s @
empurau	@ m p u r aw
ragad	r a g a d
penyereta	p @ NJ @ r e t a
nyakal	NJ a k a l
nyabung	NJ a b o NG
nabanka	n a b a n k @
matih	m a t e h
betunga	b @ t u NG a
saritu	s a r i t u
pemati	p @ m a t i
ke-lima	k @ l i m @
gumbang	g u m b a NG
entali	e n t a l i
diperesa	d i p @ r i s @
dikemanahka	d i k @ m a n a h k a
berambaika	b @ r a m b aj k a
tinda	t i n d a
timpang	t i m p a NG
susil	s u s i l
pengeran	p @ NG @ r a n
pemegai	p @ m @ g a i
nyabong	NJ a b o NG
nukuka	n u k u k a
ngelancharka	NG @ l a n tS a r k a
mussen	m u s e n
mindahka	m i n d a h k a
mija	m i dZ a
johnnical	dZ o n i k @ l
belatih	b @ l a t e h
angkun	a NG k u n
ajat	a dZ a t
tejanggal	t @ dZ a NG g a l
spaoh	s p a o h
sekim	s @ k i m
punas	p u n a s
nyerangkum	NJ @ r a NG k o m
ngelansa	NG @ l a n s a
nebang	n @ b a NG
lagong	l a g o NG
ingatka	i NG a t k a
dudong	d u d o NG
disua	d i s w a
disepi	d i s @ p i
diperati	d i p @ r a t i
ringat	r i NG a t
pengeringat	p @ NG @ r i NG a t
pengemata	p @ NG @ m a t @
paung	p aw o NG
matapelajar	m a t a p @ l a dZ a
kts	k e t i e s
kpsu	k e p i e s j u
engau	@ NG aw
dilawa	d i l a w a
dataika	d a t aj k a
bejudi	b i i dZ u d i
pemeli	p @ m @ l i
nyemaka	NJ e m a k a
ngemata	NG @ m a t @
ngemai	NG @ m aj
ngaul	NG aw l
mudal	m u d @ l
kominis	k o m i n i s
entigis	e n t i dZ @ s
ditasat	d i t a s a t
tagang	t a g a NG
penyerekang	p @ NJ @ r @ k a NG
pemerani	p @ m @ r a n i
ngadang	NG a d a NG
lekterik	l e KK t @ r e KK
lanchar	l a n tS a r
e-kasih	i k a s e h
diperundingka	d i p @ r u n d i NG k a
chelum	tS @ l o m
charut	tS a r u t
bekelala	b @ k @ l a l a
tupi	t u p i
pengambis	p @ NG a m b i s
nuan	n w a n
ke-sembilan	k @ s @ m b i l a n
terebai	t @ r @ b aj
simoi	s i m oj
seketari	s @ k @ t a r i
nganu	NG a n u
nebing	n @ b i NG
nebah	n @ b a h
kedeka	k @ d @ k @
katibas	k a t i b a s
enggaika	@ NG g a i k a
dikerinduka	d i k @ r i n d u k a
betanda	b @ t a n d @
penyamai	p @ NJ a m a i
peninggi	p @ n i NG g i
pechayaka	p @ tS h a j a k a
ngangauka	NG a NG aw k a
nangkanka	n a NG k a n k a
nadot	n a d o t
machan	m a tS a n
ditentuka	d i t @ n t u k a
betangkup	b @ t a NG k o p
bdcf	b i d i s i e f
tikah	t i k a h
pengelebih	p @ NG @ l @ b e h
nyerangkung	NJ @ r a NG k o NG
ngerijista	NG @ r i dZ i s t a
ngemenuhka	n dZ m @ n o h k a
ngemediska	NG @ m @ d i s k @
ngasai	NG a s aj
mekal	m @ k a l
masang	m a s a NG
leju	l @ dZ u
ingeniur	i n dZ i n j @ r
driba	d r i b @
diketuaika	d i k @ t w a i k a
dikemataka	d i k @ m a t a k a
dikelai	d i k @ l aj
digumpul	d i g u m p u l
diempa	d i e m p @
dabai	d a b aj
tinjar	t i n dZ a
ngeriput	NG @ r i p u t
konselar	k o n s @ l a
kangau	k a NG aw
jpam	dZ e p i e e m
jipun	dZ i p u n
disengkaum	d i s @ NG k a u m
buding	b u d i NG
berati	b @ r a t i
sepeneka	s @ p @ n @ k a
saru	s a r u
pinjau	p i n dZ aw
peribit	p @ r i b e t
pechuma	p @ tS h u m a
nyarok	NJ a r o KK
ngempung	NG @ m p o NG
mantar	m a n t a
kumbong	k u m b o NG
dipasukka	d i p a s o KK k a
beperindang	b @ p @ r i n d a NG
umbas	u m b a s
tepedaka	t @ p @ d a k a
sekreteri	s e k r e t e r i
penyai	p @ NJ aj
ngemudahka	NG @ m u d a h k a
ngelabuhka	NG @ l a b o h k a
ngati	NG a t i
nangkup	n a NG k o p
dikinsil	d i k i n s e l
belantak	b @ l a n t a KK
begiga	b @ g i g @
ampit	a m p e t
prasekula	p r a s @ k u l a
penyungkak	p @ NJ u NG k a KK
penaluk	p @ n a l o KK
pematut	p @ m a t u t
patu	p a t u
ngenduh	NG @ n d o h
merarau	m @ r a r aw
diengkah	d i e NG k a h
tungkul	t u NG k u l
pru-tiga	p r u t i g @
penyinu	p @ NJ i n u
penyakah	p @ NJ @ k a h
penembu	p @ n @ m b u
nyelamatka	NJ @ l a m a t k a
maduka	m a d u k a
jelatung	dZ @ l a t o NG
ditiki	d i t i k i
dipajakka	d i p a dZ a KK k a
belaya	b @ l a j a
bejimat	b @ dZ i m a t
sosio-ekonomi	s o s j o e k o n o m i
senipak	s @ n i p a KK
sangkai	s a NG k aj
sampal	s a m p a l
sabjek	s a b dZ e KK
purih	p u r e h
ppws	p i p i d a b l j u e s
pengandal	p @ NG a n d a l
nyumpit	NJ u m p e t
ngubat	NG u b a t
ngerekai	NG @ r e k @ i
melaba	m @ l a b @
majais	m a dZ aj s
kiba	k i b a
ijin	i dZ i n
diseliahka	d i s @ l j a h k a
betukar	b @ t u k a
bepenatai	b @ p @ n a t aj
benama	b @ n a m @
baikka	b aj KK k a
angkunka	a NG k u n k a
stuk	s t u KK
nyekat	NJ @ k a t
nyangkal	NJ a NG k a l
nyampau	NJ a m p aw
nusun	n u s u n
nginjau	NG i n dZ aw
ngenyampatka	NG @ NJ a m p a t k a
majakka	m a dZ a KK k a
ke-enam	k @ @ n a m
disadangka	d i s a d a NG k a
balleh	b e l e h
urang	u r a NG
tekuing	t @ k u i NG
setuk	s @ t o KK
serbis	s @ r b i s
sedunya	s @ d u NJ @
penekul	p @ n @ k u l
ngungkup	NG u NG k o p
ngemeran	NG @ m e r a n
ngemaruhka	NG m a r o h k a
ngelarika	NG @ l a r i k a
mutar	m u t a
liwan	l i w a n
lambar	l a m b a r
kompelin	k o m p @ l i n
jawong	dZ a w o NG
berunggu	b @ r u NG g u
berami	b @ r a m i
bekena	b @ k @ n @
tukuh	t u k o h
tudah	t u d @
semin	s @ m i n
penyekut	p @ NJ @ k u t
pengandai	p @ NG a n d aj
ngelanggur	NG @ l a NG g o
mutus	m u t u s
merinsa	m @ r i n s a
mentas	m @ n t a s
kedup	k @ d o p
ke-empat	k @ @ m p a t
jepak	dZ @ p a KK
gagit	g a g e t
durin	d u r i n
dunging	d @ n dZ i NG
dilanjarka	d i l a n dZ a r k a
diaduka	d i a d u k a
utang	u t a NG
sagah	s a g a h
penunga	p @ n u NG a
pegari	p @ g a r i
ngerikod	NG @ r i k o d
ngemuaska	NG @ m w a s k a
ngeletakka	NG @ l @ t a KK k a
nabur	n a b o
meraka	m @ r a k a
juna	dZ u n a
diperubat	d i p @ r u b a t
dilempai	d i l e m p aj
dikedeka	d i k @ d @ k @
diansak	d i a n s a KK
chelak	tS @ l a KK
begelumu	b @ g @ l u m u
temuda	t @ m u d @
selampai	s @ l a m p aj
segerit	s @ g @ r e t
nyemerai	NJ @ m @ r aj
ngerinduka	NG @ r i n d u k a
ngelepaska	NG @ l @ p a s k a
madang	m a d a NG
kepenudi	k @ p @ n u d i
jimbun	dZ i m b u n
ditengkebang	d i t @ NG k @ b a NG
ditanka	d i t a n k @
didirika	d i d i r i k a
diadang	d i a d a NG
besilih	b @ s i l e h
bekunsika	b @ k u n s i k a
bebuaika	b @ b w aj k a
bebanding	b @ b a n d i NG
tingki	t i NG k i
puntan	p u n t a n
pemanca	p @ m a n tS a
nyua	NJ w a
ngelaku	NG @ l @ k u
masau	m a s aw
khere	k e @ r
kelingi	k @ l i NG i
dikurangka	d i k u r a NG k @
chambai	tS e m b aj
bererenggat	b @ r @ r @ NG g a t
tinduk	t i n d o KK
sesapa	s @ s a p @
seput	s @ p u t
pengirau	p @ NG i r aw
pengeliat	p @ NG @ l j a t
ouna	o u n a
nyadang	NJ a d a NG
nuduh	n u d o h
ngibun	NG i b u n
ngangkut	NG a NG k u t
lempung	l @ m p o NG
disain	d i s a e n
dipejurai	d i p @ dZ u r aj
dipebasaka	d i p @ b a s a k @
billiun	b i l j u n
berenggat	b @ r @ NG g a t
umai	u m aj
teku	t @ k u
samling	s a m l i NG
ranyai	r a NJ aj
pengaya	p @ NG a j a
ngusie	NG u z i
ngungun	NG u NG u n
ngujung	NG u dZ o NG
nerenak	n @ r e n a KK
mantau	m a n t aw
labang	l a b a NG
enchuri	e n tS h u r i
dititih	d i t i t e h
diagihka	d i a g e h k a
besembiang	b @ s @ m b j a NG
bepengarap	b @ p @ NG a r a p
bejejaga	b @ dZ @ dZ a g @
bebasa	b e b a s @
semadi	s @ m a d i
penyuntuk	p @ NJ u n t o KK
pemajik	p @ m a dZ e KK
nulak	n u l a KK
nudukka	n u d o KK k a
ninggang	n i NG g a NG
ngerikut	NG @ r i k u t
ngemaduka	NG @ m a d u k a
melakangka	m @ l a k a NG k @
kambin	k a m b i n
jamit	dZ a m e t
icats	i k e t s
dikemujurka	d i k @ m u dZ o r k a
bemalam	b @ m a l a m
belaban	b @ l a b a n
bejurai	b @ dZ u r aj
bebaris	b @ b a r i s
telu	t @ l u
seagi	s @ a g i
penyukat	p @ NJ u k a t
penimpang	p @ n i m p a NG
pengilap	p @ NG i l a p
nyilih	NJ i l e h
nyerah	NJ e r a h
nyengala	NJ @ NG a l @
ngapil	NG a p e l
nesau	n e s aw
nekul	n @ k u l
mejal	m e dZ @ l
jkms	dZ e k e e m e s
foochow	f u tS aw
dirikut	d i r i k u t
bepeluang	b @ p @ l w a NG
tulihka	t u l e h k a
tegut	t @ g o t
sikie	s i k i
siburan	s i b o r a n
sapa-sapa	s a p a s a p @
opar	o p a
nyura	NJ u r @
nyalahka	NJ @ l a h k a
nangkal	n a NG k a l
mocs	m o s i e s
mechahka	m e k a h k a
mansut	m a n s u t
kudei	k u d e i
kontrek	k o n t r e KK
ibuhka	i b u h k a
empa	@ m p a
tajapan	t a dZ a p a n
seninjik	s @ n i n dZ e KK
semaka	s @ m a k @
runchit	r a n tS i t
penyikar	p @ NJ i k a
pengeransing	p @ NG @ r a n s i NG
nyendia	NJ @ n d j a
ngelakka	NG e l a KK k a
ngasi	NG a s i
laya	l a j a
laja	l a dZ a
diterangka	d i t @ r a NG k @
diputuska	d i p u t u s k a
diayanka	d i a j a n k @
anglikan	e n g l i k a n
ajarr	a dZ a r
tga	t i dZ i e
tebulihka	t @ b u l e h k a
tarat	t a r a t
rpi	a r p i aj
ngurus	NG u r u s
ngerampit	NG @ r a m p e t
ngerahka	NG @ r a h k a
lubah	l u b a h
kuong	k u o NG
kunsit	k u n s i t
hiing	h i NG
geruna	g @ r u n a
gerah	g @ r a h
dikarapka	d i k a r a p k a
blikau	b l i k aw
beraban	b @ r a b a n
beguai	b @ g w aj
bakatu	b a k a t u
teru	t @ r u
sekuau	s @ k u aw
peturun	p @ t u r u n
pengerusak	p @ NG @ r u s a KK
pemusik	p @ m u s i KK
nkea	e n k e i e
nimbang	n i m b a NG
mungkal	m u NG k a l
mandang	m a n d a NG
lindong	l i n d o NG
johnical	dZ o n i k @ l
irauka	i r aw k a
elli	e l i
digiga	d i g i g @
biju	b i dZ u
betuju	b @ t u dZ u
berambunka	b @ r a m b u n k a
anyie	a NJ i
rejister	r @ dZ i s t @
pemekal	p @ m @ k a l
pekayan	p @ k a j a n
nyumai	NJ u m aj
nyimpul	NJ i m p u l
nguruska	NG u r u s k a
ngukum	NG u k o m
ngitang	NG i t a NG
ngengkah	NG @ NG k a h
ngenakutka	NG @ n a k u t k a
ngempuru	NG @ m p u r u
ngemerat	NG @ m @ r a t
ngakun	NG a k u n
memukai	m @ m u k a i
lamoh	l a m o h
lagang	l a g a NG
engagu	@ NG a g u
diadangka	d i a d a NG k a
debak	d @ b a KK
beserekang	b @ s @ r @ k a NG
beserebak	b @ s @ r @ b a KK
besangkut	b @ s a NG k u t
alit	a l i t
serebak	s @ r @ b a KK
rascom	r a s k o m
perati	p @ r a t i
peragam	p @ r a g a m
nyurutka	NJ u r u t k a
nyerakupka	NJ e r a k o p k a
nyepi	NJ @ p i
ngemuntanka	NG @ m u n t a n k @
ngemunka	NG @ m u n k a
ngeletak	NG @ l @ t a KK
ngelengka	NG @ l @ NG k a
milliun	m i l j u n
mdlbs	e m d i e l b i e s
langkar	l a NG k a r
kunchi	k u n tS h i
ketetiga	k @ t @ t i g @
kakus	k a k u s
jaul	dZ aw l
iy	aj w aj
diuluka	d i u l u k @
ditinggalka	d i t i NG g a l k a
disaup	d i s a o p
direkta	d i r e KK t a
dikangauka	d i k a NG aw k a
dijadika	d i dZ a d i k a
didit	d i d e t
bepegai	b @ p @ g aj
bedanji	b @ d a n dZ i
terejun	t @ r e dZ u n
selirik	s @ l i r i KK
roban	r o b a n
pemerinsa	p @ m @ r i n s a
pelakun	p @ l a k u n
nyuwa	NJ u w a
ngesah	NG @ s a h
ngerusakka	NG @ r u s a KK k a
ngerugika	NG @ r u g i k @
ngenukuka	NG @ n u k u k a
ngedutka	NG @ d u t k a
ngasu	NG a s u
mundaw	m u n d a w
luri	l u r i
librari	l aj b r @ r i
fb	e f b i
dundang	d u n d a NG
dipelajarka	d i p @ l a dZ a r k a
dijil	d i dZ i l
chabut	tS a b u t
besereta	b @ s @ r e t a
bechura	b e tS u r @
bebulaka	b @ b u l a k @
apak	a p a KK
pirak	p i r a KK
pechah	p @ tS h a h
nyelamat	NJ @ l a m a t
nyamin	NJ a m i n
nguntung	NG u n t o NG
ngulih	NG u l e h
ngengaika	NG @ NG a e k a
ngamahka	NG a m a h k a
nating	n a t i NG
murang	m u r a NG
lss	e l e s e s
kupi	k u p i
kgbs	k e dZ i b i e s
kaling	k a l i NG
jemat	dZ @ m a t
igai	i g aj
diseliah	d i s @ l j a h
dilanggur	d i l a NG g o
deh	d e h
berakup	b @ r a k o p
belayong	b @ l a j o NG
bebaika	b @ b aj e k a
teputar	t @ p u t a
sigan	s i g @ n
puin	p u i n
perabung	p @ r a b o NG
penyenang	p @ NJ @ n a NG
penagang	p @ n a g a NG
numbuh	n u m b o h
numbas	n u m b a s
ngeruntun	NG @ r u n t u n
ngerachun	NG @ r a tS u n
ngarang	NG a r a NG
naban	n a b a n
manggaika	m a NG g a i k a
injinia	i n dZ i n j @
gawaka	g a w a k @
diseruri	d i s @ r o r i
dikemata	d i k @ m a t @
dikemanah	d i k @ m a n a h
dikeibuhka	d i k @ i b u h k a
dichalunka	d i tS a l u n k a
dichalun	d i tS a l u n
bechairmanka	b e tS e r m e n k a
arung	a r o NG
untak	u n t a KK
timpai	t i m p @ i
tating	t a t i NG
taga	t a g a
srdc	e s a r d i s i
sepengalama	s @ p @ NG a l a m a
senyata	s @ NJ a t @
seketeri	s @ k @ t @ r i
rpr	a r p i a r
penepan	p @ n @ p a n
pegung	p @ g o NG
operasyen	o p @ r a SS @ n
nyidi	NJ i d i
nyanggup	NJ a NG g o p
nuing	n j u i NG
ngengkahka	NG @ NG k a h k a
ngemendar	n dZ m @ n d a
ngelempaika	NG @ l e m p aj k a
ngelekai	NG @ l e k @ i
ngelalu	NG @ l a l u
ngangau	NG a NG aw
nanggul	n a NG g u l
mesan	m @ s a n
mekuh	m @ k o h
keba	k @ b a
kdja	k dZ a
janggu	dZ a NG g u
enyang	e n j a NG
dititihka	d i t i t e h k a
ditepan	d i t @ p a n
disemayaka	d i s @ m a j a k a
disemaya	d i s @ m a j a
direjista	d i r @ dZ i s t a
dikeingatka	d i k @ i NG a t k a
dichelak	d i tS @ l a KK
dibungkur	d i b u NG k o
bletih	b l @ t e h
aram	a r a m
ambi	a m b i
stutong	s t u t o NG
sempama	s @ m p a m @
segulai	s @ g u l @ i
rmk-sembilan	a r e m KK s @ m b i l a n
rapaee	r a p a i
rangkah	r a NG k a h
perchaya	p @ r tS a j a
penyaga	p @ NJ a g @
pementas	p @ m @ n t a s
nyerarai	NJ e r @ r aj
nyerang	NJ @ r a NG
nenun	n @ n u n
nelebaka	n @ l @ b a k @
mupuk	m u p o KK
merio	m @ r i o
masung	m a s o NG
maren	m e r @ n
manding	m a n d i NG
kudi	k u d i
kemayahari	k @ m a j a h a r i
ditingkilka	d i t i NG k e l k a
dipindahka	d i p i n d a h k a
dichuri	d i tS h u r i
champur	tS e m p o
bhr	b i e tS a r
besabar	b @ s a b a
berampit	b @ r a m p e t
bepenanggul	b @ p @ n a NG g u l
bepechah	b @ p @ tS h a h
belb	b e l b
bejai	b @ dZ a i
bagas	b a g a s
andau	a n d aw
tetapika	t @ t a p i k a
teleba	t e l i b a
taluk	t a l o KK
sabati	s a b a t i
prn	p i a r e n
peninga	p @ n i NG @
pemerati	p @ m @ r a t i
nyelak	NJ @ l a KK
nipu	n i p u
ningkan	n i NG k a n
ngumbang	NG u m b a NG
nguasa	NG w a s @
ngidap	NG i d a p
ngiarka	NG j a r k a
ngenyemakka	NG @ NJ e m a KK k a
ngenatai	NG @ n a t aj
ngelekatka	NG @ l @ k a t k a
ngawa	NG a w @
neresa	n @ r i s @
nentu	n @ n t u
mit-mit	m i t m i t
meskin	m @ s k i n
mering	m @ r i NG
mandingka	m a n d i NG k a
dipejadi	d i p @ dZ a d i
dikemutarka	d i k @ m u t a k a
dichiri	d i tS i r i
dianti	d i a n t i
chapi	tS a p i
bugek	b u g e KK
betambah	b @ t a m b a h
bepangai	b @ p a NG aj
bemee	b e m i
bebula	b @ b j u l @
bebansa	b @ b a n s a
stindit	s t i n d e t
serimbai	s @ r i m b aj
seiti	s e j t i
poyut	p o j u t
pikir	p i k e
pansuh	p a n s o h
nyerungkai	NJ @ r u NG k aj
nyaku	NJ @ k u
nujah	n u dZ a h
ngetas	NG @ t a s
ngenchuri	NG @ n tS u r i
ngemujur	NG @ m u dZ o
ngelengkaka	NG @ l @ NG k a k a
naburka	n a b o k a
lamat	l a m a t
